,DHT,DHT,DHT,DHT,DHT,FRO,FRO,FRO,FRO,FRO,ASC,ASC,ASC,ASC,ASC,ECO,ECO,ECO,ECO,ECO,NAT,NAT,NAT,NAT,NAT,TNK,TNK,TNK,TNK,TNK,INSW,INSW,INSW,INSW,INSW,TRMD,TRMD,TRMD,TRMD,TRMD,TOPS,TOPS,TOPS,TOPS,TOPS,TORO,TORO,TORO,TORO,TORO,PSHG,PSHG,PSHG,PSHG,PSHG
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 05:00:00,10.0,10.1,9.84,10.01,2299612.0,20.4,20.52,20.08,20.16,2286196.0,14.43,14.62,14.265,14.3,572897.0,27.2,27.69,27.2,27.5,40576,4.27,4.32,4.25,4.29,2240904.0,50.94,51.7199,50.405,51.38,391139.0,47.0,47.11,46.225,46.59,448117.0,31.0,31.58,31.0,31.45,405633.0,15.62,15.7,15.34,15.61,19106.0,4.91,5.1477,4.89,5.01,50848.0,2.3,2.34,2.1754,2.23,129805.0
2024-01-03 05:00:00,10.01,10.31,10.0,10.28,2470176.0,20.45,21.17,20.38,21.12,2869446.0,14.3,14.88,14.24,14.78,787811.0,27.36,28.65,27.2,28.27,76439,4.32,4.49,4.28,4.46,5125855.0,51.52,54.1,51.38,53.53,471597.0,46.67,48.46,46.455,48.22,586811.0,31.71,32.5,31.6101,32.41,623650.0,15.32,15.4,14.67,15.11,53326.0,5.01,5.5369,5.01,5.38,77380.0,2.23,2.3,2.1902,2.25,119025.0
2024-01-04 05:00:00,10.4,10.695,10.3,10.31,2863042.0,21.42,21.828,20.92,20.93,3490887.0,14.98,15.34,14.6,14.62,984433.0,28.61,28.835,28.37,28.48,37155,4.53,4.585,4.41,4.41,3108417.0,54.91,56.75,54.0,54.11,744615.0,48.94,49.58,47.61,47.84,1042825.0,33.08,33.795,32.3231,32.37,754235.0,14.87,15.8483,14.801,15.7,25015.0,5.41,5.97,5.2651,5.89,164960.0,2.3,2.38,2.25,2.33,189151.0
2024-01-05 05:00:00,10.4,10.99,10.375,10.94,4396897.0,21.28,22.47,21.135,22.24,4587588.0,14.7,15.1,14.64,15.0,905167.0,27.74,29.305,27.74,29.05,65370,4.4,4.64,4.39,4.56,6486904.0,54.53,56.68,54.4,56.2,473607.0,48.28,49.36,47.73,48.84,477654.0,32.58,33.89,32.46,33.78,626098.0,15.7,15.91,15.0,15.12,35492.0,5.89,5.97,5.6622,5.9,95264.0,2.33,2.38,2.25,2.35,85000.0
2024-01-08 05:00:00,10.73,10.82,10.5,10.67,3489556.0,21.75,21.87,21.47,21.78,2784925.0,14.79,14.98,14.55,14.97,595713.0,28.18,28.4299,27.99,28.33,49459,4.49,4.505,4.38,4.47,3455025.0,55.26,55.89,53.255,54.44,628000.0,47.95,48.42,47.01,48.41,521490.0,32.81,33.18,32.1,33.03,678445.0,15.3,15.3,14.47,14.55,42696.0,5.9,5.92,5.6901,5.75,41438.0,2.37,2.37,2.2301,2.25,82704.0
2024-01-09 05:00:00,10.67,10.74,10.5,10.69,1984880.0,22.23,22.23,21.55,21.91,2614340.0,15.015,15.0785,14.6176,14.92,445115.0,28.57,28.87,27.75,28.47,40733,4.46,4.5042,4.39,4.45,1712329.0,54.73,54.92,52.88,54.32,388611.0,48.78,49.14,47.65,49.01,466408.0,33.16,33.26,32.5376,33.0,541344.0,14.78,14.99,14.14,14.99,24798.0,5.65,5.75,5.6,5.66,41816.0,2.27,2.27,2.195,2.24,67788.0
2024-01-10 05:00:00,10.7,10.725,10.53,10.59,1629291.0,22.22,22.22,21.62,21.81,1911145.0,14.98,14.98,14.59,14.7,401657.0,28.02,28.17,27.72,27.98,49088,4.44,4.45,4.38,4.4,2064372.0,54.43,54.6099,53.2201,53.7,276847.0,49.21,49.3,48.14,48.98,444416.0,33.0,33.09,32.23,32.26,554264.0,14.77,14.99,14.7201,14.85,9766.0,5.61,5.61,5.45,5.52,55692.0,2.25,2.2884,2.19,2.25,47484.0
2024-01-11 05:00:00,10.53,10.73,10.285,10.71,2885480.0,21.23,21.545,20.93,21.41,2748606.0,14.66,14.815,14.32,14.79,516504.0,27.07,27.4,26.55,27.0,109725,4.38,4.385,4.31,4.35,2392357.0,53.12,54.08,52.42,54.05,328976.0,48.84,49.3,47.9,49.29,470699.0,32.01,32.16,31.53,32.03,1049423.0,14.86,15.14,14.48,14.8,24874.0,5.47,5.5,5.42,5.5,45200.0,2.35,2.35,2.1,2.14,180188.0
2024-01-12 05:00:00,11.01,11.36,10.89,10.96,3965149.0,22.31,23.0,22.05,22.14,4164081.0,15.5,15.61,14.88,15.05,1057001.0,28.2,28.86,28.1129,28.32,35453,4.51,4.645,4.445,4.46,4226858.0,55.59,57.28,55.22,56.34,564130.0,50.84,51.96,50.63,51.11,604804.0,33.48,33.7,32.12,32.54,1023091.0,14.8,15.59,14.6201,14.98,39125.0,5.43,5.54,5.35,5.4,61989.0,2.16,2.22,2.135,2.21,62213.0
2024-01-16 05:00:00,11.15,11.23,10.96,11.02,2362508.0,22.97,23.14,22.115,22.27,3121817.0,15.2,15.41,14.8,14.85,609588.0,29.14,29.37,28.7901,29.0,46611,4.51,4.59,4.44,4.47,3549456.0,57.07,57.91,55.46,55.76,610153.0,51.65,51.98,50.302,50.63,533315.0,33.04,33.31,32.03,32.3,795271.0,14.63,15.19,14.4,14.89,26771.0,5.4,5.4499,5.3,5.4,37653.0,2.25,2.2697,2.15,2.16,73399.0
2024-01-17 05:00:00,10.95,11.215,10.91,11.06,1518089.0,22.18,22.6699,22.09,22.49,1833955.0,14.76,15.305,14.76,15.25,878781.0,28.57,29.0,28.41,28.85,33263,4.41,4.505,4.41,4.49,2829187.0,55.46,57.4,55.46,56.72,391344.0,50.23,51.91,50.2,51.68,375303.0,32.73,33.613,32.7,33.29,611871.0,14.52,14.86,14.31,14.67,17215.0,5.35,5.58,5.35,5.57,46787.0,2.18,2.18,1.96,2.09,267683.0
2024-01-18 05:00:00,11.14,11.14,10.89,11.01,1367155.0,22.41,22.49,21.8,22.1,2136654.0,15.55,15.591,15.29,15.49,1173929.0,29.02,29.02,28.36,28.56,31763,4.5,4.53,4.4,4.45,3435349.0,57.09,57.295,55.8652,57.16,366717.0,52.0,52.56,51.3358,52.53,359868.0,34.36,34.8,34.05,34.65,1013739.0,14.74,14.74,14.13,14.41,39790.0,5.58,5.58,5.4,5.4,36439.0,2.07,2.09,2.0,2.03,114528.0
2024-01-19 05:00:00,11.11,11.17,10.89,10.98,1870725.0,22.18,22.5,21.9,22.24,2139659.0,15.6,15.72,15.22,15.58,764288.0,28.49,28.49,28.02,28.34,46690,4.48,4.495,4.3587,4.44,2920365.0,59.0,61.67,57.25,59.05,917163.0,52.91,53.2,51.85,52.48,387068.0,34.72,35.07,34.25,34.68,717554.0,14.37,14.37,13.95,14.12,22595.0,5.38,5.48,5.12,5.2,93592.0,1.98,2.08,1.98,2.04,55560.0
2024-01-22 05:00:00,10.94,11.11,10.83,10.85,1627046.0,22.0,22.06,21.48,21.56,2089431.0,15.66,15.8899,15.48,15.58,921290.0,28.1,28.25,27.7,27.7167,25966,4.42,4.42,4.31,4.31,2490973.0,59.05,59.79,58.13,58.33,450275.0,52.4,53.3,52.03,52.17,522111.0,34.91,35.81,34.66,35.44,756957.0,14.13,14.45,14.06,14.12,11542.0,5.2,5.49,5.1,5.38,64377.0,2.04,2.0499,1.96,1.97,130524.0
2024-01-23 05:00:00,10.8,10.825,10.63,10.78,1758106.0,20.93,21.29,20.819,21.16,2362408.0,15.5,15.64,15.27,15.48,598050.0,27.44,28.25,27.08,28.23,68698,4.3,4.31,4.23,4.27,2157081.0,58.0,58.885,57.52,57.98,422362.0,51.98,52.43,51.57,51.66,749865.0,35.06,35.745,34.76,35.49,594955.0,14.11,14.16,14.0,14.11,14989.0,5.36,5.56,5.28,5.47,46806.0,2.0,2.01,1.9,1.96,68690.0
